Internal Sample #	BDGP Cloning #	Clone Name	Class	Symbol	Flybase Gene ID	Name	Special Identification	Annotation	ECD Insert Size (aa)	Full-length size (aa)	"Domains EC, (IC)"	SP	TM or GPI	Cellular Localization	Expression as Bait	Expression as Prey	Included in	Notes on sequence	"Extracellular interactions observed, based on Literature Survey"
47	GT50150	RT09868	Ig + FnIII	Lar	FBgn0000464	Leukocyte-antigen-related-like		CG10443	1345	2029	"3 Ig, 9 FnIII, (2 PTPc)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome I and II		"Lar binds Sdc (PMID: 16213816, 16476662) and dlp (PMID: 16476662), both of which are Heparan sulfate proteoglycans."
64	GT50151	RT09995	Ig + FnIII	Ptp99A	FBgn0004369	Protein tyrosine phosphatase 99A	Ptp99A-PA	CG11516	530	1397	"1 Ig, 4 FnIII, (2 PTPc)"	Y	TM	Transmembrane	Moderate	Low	Interactome I and II	"This is the F splice variant, Ptp99A-PF."	Orphan.
202	GT50151	RT11108	FnIII	Ptp99A	FBgn0004369	Protein tyrosine phosphatase 99A	Ptp99A-PF	CG11516	364	1231	"3 FnIII, (2 PTPc)"	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
33	GT50152	RT09996	Ig + LRR	Pxn	FBgn0011828	Peroxidasin		CG12002	1504	1527	"LRR[1+5+1], 4 Ig, 1 An-Peroxidase, 1 vWC"	Y	N	Secreted	None	"None (100 kDa band, degradation?)"	Interactome I and II		Orphan.
70			A4-EXTRA	Appl	FBgn0000108	_ amyloid protein precursor-like		CG7727	786	887	"A4-Extra, App-E2, (1 App-Amyloid)"	Y	TM	Transmembrane	Low	Moderate	Interactome I and II		"Appl binds Dab, X11 and APP-BP1 intracellularly. Human Appl can homodimerize (PMID: 16193067)."
90			LamNT	NetA	FBgn0015773	Netrin-A		CG18657	707	726	"1 LamNT, 3 EGF, 1 C345C"	Y	N	Secreted	None	None	Interactome I and II		"NetA binds Unc-5 (PMID: 11719202) and Fra (PMID: 10068638, 8861904, 10972289)."
9			LamNT	NetB	FBgn0015774	Netrin-B		CG10521	595	793	"1 LamNT, 3 EGF, 1 C345C"	Y	N	Secreted	Low	Low	Interactome I and II	The true ECD is 768 residues. We were just able to clone this.	"NetB binds Unc-5 (PMID: 11719202) and Fra (PMID: 10068638, 8861904, 10972289)."
151	GT91301	RT09901	LRR	18w	FBgn0004364	18 wheeler		CG8896	968	1385	"LRR[0+18+1], LRR[1+4+1], (1 TIR)"	Y	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
142	GT91302	RT10004	LRR	CG1504	FBgn0031100			CG1504	352	425	LRR[1+5+0]	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
129	GT91303	RT11110	LRR	CG32055	FBgn0052055			CG32055	517	534	LRR[0+11+0]	Y	N	Secreted	Low	Very low	Interactome II only		Orphan.
-	GT91304	no clone obtained	LRR	CG4168	FBgn0028888			CG4168	1405	1443	LRR[0+33+1]	Y	TM	Transmembrane			none		Orphan.
-	GT91305	no clone obtained	LRR + FnIII	CG42346	FBgn0259677			CG42346	1462	1717	"LRR[0+32+1], 1 FnIII"	TM/SA	TM	Transmembrane			none		Orphan.
144	GT91306	RT09926	LRR	CG42573	FBgn0260793			CG42573	902	1141	LRR[0+8+0]	Y	TM	Transmembrane	Low	Low	Interactome II only		Orphan.
158	GT91307	RT09908	LRR	CG5810	FBgn0038866			CG5810	406	428	LRR[0+6+0]	Y	N	Secreted	Moderate	Low	Interactome II only		Orphan.
-	GT91308	no clone obtained	LRR	conv	FBgn0261269	convoluted		CG8561	1053	1092	LRR[0+28+1]	Y	GPI	Membrane attached			none		Conv binds ImpL2 (PMID: 18396139).
148	GT91309	RT10026	LRR	Egfr	FBgn0003731	Epidermal growth factor receptor		CG10079	839	1426	"1 L, 2 FU, 1 L, 5 FU, (1 TyrKc)"	Y	TM	Transmembrane	Moderate	Very low	Interactome II only		"EGFR binds Vn (PMID: 8824589), kek1 (PMID: 10102272), and other secreted ligands: Spi, Aos, Grk."
156	GT91310	RT10042	LRR	haf	FBgn0261509	hattifattener		CG14351	664	1316	LRR[0+11+1]	Y	TM	Transmembrane	None	None	Interactome II only		Orphan.
-	GT91311	no clone obtained	LRR + FnIII	InR	FBgn0013984	Insulin-like receptor		CG18402	1267	2144	"1 L, 1 FU, 1 L, 3 FnIII, (1 TyrKc)"	Y	TM	Transmembrane			none		"InR probably binds Drosophila Ilp1 to 7, but this has not been demonstrated."
190	GT91312	RT11115	LRR	MstProx	FBgn0015770	MstProx		CG1149	336	965	"LRR, LRR, LRR, LRR, (1 TIR)"	N (?)	TM	Transmembrane	Very low	Very low	Interactome II only	The true ECD is 771 residues or longer. 5-prime end not certain. Our construct is the 336-aa truncation from the N terminus.	"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
194	GT91313	RT11116	FnIII	Ptp52F	FBgn0034085			CG18243	1010	1433	"6 FnIII, (1 PTPc)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
189	GT91314	RT11119	LRR	rk	FBgn0003255	rickets		CG8930	725	1360	LRR[0+17+0]	Y	TM	Transmembrane (7 TM)	Very low	Very low	Interactome II only		"Rk binds burs (PMID: 15703293, 15811337)."
203	GT91315	RT11122	FnIII	sev	FBgn0003366	sevenless		CG18085	2000	2554	"2 FnIII, 1 LY, 1 FnIII, 1 LY, 3 FnIII, (1 TyrKc)"	TM/SA	TM	Transmembrane	Low (mostly degraded)	Low (mostly degraded)	Interactome II only		Sev binds Boss (PMID: 1857416). It has other intracellular interaction partners.
132	GT91316	RT11125	LRR	sli	FBgn0264089	slit	sli-PC	CG43758	1468	1504	"LRR[1+6+1], LRR[1+5+1], LRR[1+4+1], LRR[1+4+1], 6 EGF, 1 LamG, 1 EGF, 1 CTCK"	Y	N	Secreted	None	None	Interactome II only		"Sli (N-terminal fragment) binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
133	GT91316	"RT09974 has deletion in D2-D3, effectively fusing them.  Matches genome but no predicted transcript.  Keep.  Finished."	LRR	sli	FBgn0264089	slit	sli-PG	CG43758	1292	1328	"LRR[1+6+1], LRR[1+6+1], LRR[1+4+1], 6 EGF, 1 LamG, 1 EGF, 1 CTCK"	Y	N	Secreted	None	None	Interactome II only		"Sli (N-terminal fragment) binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
170	GT91316	RT09975 matches RA and RD and genome.	LRR	sli	FBgn0264089	slit	sli-PA	CG43758	1444	1480	"LRR[1+5+1], LRR[1+5+1], LRR[1+4+1], LRR[1+4+1], 6 EGF, 1 LamG, 1 EGF, 1 CTCK"	Y	N	Secreted	None	None	Interactome II only		"Sli (N-terminal fragment) binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
167	GT91317	RT09936	LRR	Tehao	FBgn0026760	Tehao		CG7121	568	795	"LRR[0+3+0], LRR[1+1+0], (1 TIR)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
141	GT91318	RT11128	LRR	Toll-4	FBgn0032095			CG18241	736	1125	"4 LRR, (1 TIR)"	N	TM	Transmembrane	None	None	Interactome II only	"Our construct starts at aa 186 of the current gene model, which is 5-prime incomplete. Current ECD for the model is 925 aa."	"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
162	GT91319	RT09953	LRR	Toll-7	FBgn0034476			CG8595	1031	1446	"LRR[0+19+1], LRR[1+4+1], (1 TIR)"	Y	TM	Transmembrane	Low	Low	Interactome II only		"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
161	GT91320	RT10307	LRR	Toll-9	FBgn0036978			CG5528	663	900	"LRR[0+11+0], (1 TIR)"	Y	TM	Transmembrane	None	None	Interactome II only		"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
169	GT91401	RT10103	LRR	caps	FBgn0023095	capricious		CG11282	421	540	LRR[1+12+1]	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
177	GT91402	RT10107	LRR + FnIII	CG10702	FBgn0032752			CG10702	845	946	"1 L, 1 FU, 1 L, 3 FnIII"	Y	TM	Transmembrane	None	None	Interactome II only		Orphan.
137	GT91403	RT10112	LRR	CG10824	FBgn0038865			CG10824	532	554	LRR[1+15+1]	Y	N	Secreted	High	High	Interactome II only		Orphan.
140	GT91404	RT10113	LRR	Lrt	FBgn0034540	Leucine-rich tendon-specific protein		CG11136	695	808	LRR[0+9+1]	Y	TM	Transmembrane	Moderate	Low	Interactome II only		Lrt binds Robo (PMID: 19793885).
165	GT91405	RT10118	LRR	alrm	FBgn0039332	astrocytic leucine-rich repeat molecule		CG11910	448	471	LRR[0+10+0]	Y	N	Secreted	Moderate	Moderate	Interactome II only		Orphan.
184	GT91406	RT10121	LRR	CG14662	FBgn0037291			CG14662	367	550	1 L	Y (SA)	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
171	GT91407	RT10125	LRR	CG14762	FBgn0033250			CG14762	440	470	LRR[1+11+1]	Y	N	Secreted	High	High	Interactome II only		Orphan.
150	GT91408	RT10314	LRR	Lapsyn	FBgn0034602	Leucine-rich repeat activity-regulated protein at synapses		CG15658	254	343	LRR[0+6+0]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
181	GT91409	RT10135	LRR	CG42709	FBgn0261674			CG42709	376	458	LRR[1+5+0]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
182	GT91410	RT11131	LRR	CG18095	FBgn0028872			CG18095	485	548	LRR[0+11+0]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
196	GT91411	RT10144	LRR	CG18249	FBgn0037553			CG18249	474	559	LRR[0+8+0]	Y	TM	Transmembrane	Low	Very low	Interactome II only		Orphan.
160	GT91412	RT10145	LRR	CG18480	FBgn0028518			CG18480	336	550	LRR[1+5+0]	Y	TM	Transmembrane	Low	Low	Interactome II only		Orphan.
197	GT91413	RT10325	LRR	ltl	FBgn0052372	larval translucida		CG32372	805	817	LRR[0+12+0]	Y	N	Secreted	Moderate	Low	Interactome II only		Ltl binds dlp (PMID: 21266407).
154	GT91414	RT10153	FnIII	CG33143	FBgn0053143			CG33143	155	502	1 FnIII	Y	TM	Transmembrane	Low	Low	Interactome II only	This is the CG33143-PC splice variant.	Orphan.
176	GT91415	RT10158	LRR	CG34411	FBgn0085440			CG34411	443	806	"1 LDLa, LRR[1+10+1], (7TM)"	Y	TM	Transmembrane (7 TM)	High	Moderate	Interactome II only		Orphan.
198	GT91416	RT11134	LRR + FnIII	CG3837	FBgn0038279			CG3837	834	868	"1 L, 1 FU, 1 L, 2 FnIII"	Y	N	Secreted	Very low	Very low	Interactome II only		Orphan.
192	GT91417	RT10162	FnIII	CG42389	FBgn0259735			CG42389	1373	1413	9 FnIII	N	TM	Transmembrane	None	Very low	Interactome II only	This is the CG42389-PG splice variant.	Orphan.
157	GT91418	RT10339	LRR	CG4781	FBgn0035043			CG4781	387	469	LRR[0+6+1]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
153	GT91419	RT10350	LRR	CG4950	FBgn0036587			CG4950	495	574	LRR[0+9+0]	Y	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
172	GT91420	RT10538	LRR	CG5096	FBgn0032235			CG5096	413	491	LRR[0+6+1]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
136	GT91421	RT11137	LRR	CG5195	FBgn0036995			CG5195	1491	1535	LRR[1+33+1]	Y	GPI	Membrane attached	Moderate	Very low	Interactome II only		Orphan.
130	GT91422	RT10374	LRR	CG5541	FBgn0030603			CG5541	370	463	1 LRR	Y	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
180	GT91423	RT10387	LRR	CG5819	FBgn0034717			CG5819	515	915	LRR[1+9+1]	Y	TM	Transmembrane	Moderate	Low	Interactome II only		Orphan.
195	GT91424	RT10185	LRR	CG5888	FBgn0028523			CG5888	439	455	LRR[0+3+0]	Y	N	Secreted	Moderate	Moderate	Interactome II only		Orphan.
168	GT91425	RT10189	LRR	CG6749	FBgn0036040			CG6749	527	552	LRR[0+16+0]	Y	N	Secreted	Moderate	Moderate	Interactome II only		Orphan.
179	GT91426	RT11140	LRR	CG6959	FBgn0037956			CG6959	346	425	LRR[1+6+1]	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
183	GT91427	RT10293	LRR	CG7509	FBgn0035575			CG7509	593	615	LRR[0+13+0]	Y	N	Secreted	None	None	Interactome II only		Orphan.
187	GT91428	RT10291	LRR	CG7702	FBgn0038638			CG7702	432	537	LRR[1+7+1]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
191	GT91429	RT11143	LRR	CG7800	FBgn0037552			CG7800	459	533	LRR[0+5+0]	Y	TM	Transmembrane	Moderate	Very low	Interactome II only		Orphan.
135	GT91430	RT10543	LRR	CG7896	FBgn0039728			CG7896	1210	1392	LRR[1+35+1]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
188	GT91431	RT10216	LRR	CG8852	FBgn0031548			CG8852	464	663	1 L	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
128	GT91432	RT11146	LRR	chp	FBgn0267435	chaoptic		CG1744	1270	1315	LRR[1+33+0]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Chp binds itself (PMID: 2189727).
146	GT91433	RT10551	LRR	Con	FBgn0005775	Connectin		CG7503	626	691	LRR[1+8+1]	Y	TM	Transmembrane	None (degraded band)	None (degraded band)	Interactome II only		Con binds itself (PMID: 1505024).
155	GT91434	RT11149	FnIII	Eph	FBgn0025936	Eph receptor tyrosine kinase		CG1511	556	1096	"1 EPH-LBD, 2 FnIII, (1 TyrKc), (1 SAM)"	TM/SA	TM	Transmembrane	Very low	None	Interactome II only		Eph binds Ephrin.
149	GT91435	RT10433	LRR	Fili	FBgn0085397	Fish-lips		CG34368	488	738	LRR[1+11+0]	Y	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
185	GT91436	RT11152	LRR	Lgr1	FBgn0016650	Lgr1		CG7665	439	831	"1 LRR, (7TM)"	Y	TM	Transmembrane (7 TM)	Very low	Very low	Interactome II only		"Lgr1 binds a heterodimer of Gpa2 and Gpb5 (PMID: 15890769). Evidence is indirect, but believable."
131	GT91437	RT10449	LRR	Gp150	FBgn0013272	Gp150		CG5820	946	1051	LRR[1+18+0]	Y	TM	Transmembrane	Moderate (some degradation)	Low	Interactome II only		Orphan.
173	GT91438	RT10243	LRR	hfw	FBgn0001189	halfway		CG3095	538	611	1 LRR	Y	TM	Transmembrane	Low	Very low	Interactome II only		Orphan.
166	GT91439	RT10464	FnIII	Kal1	FBgn0039155	Kallmann syndrome 1 ortholog		CG6173	502	525	"1 WAP, 2 FnIII"	Y	N	Secreted	Very low	None	Interactome II only		Orphan.
174	GT91440	RT11155	LRR	Lgr3	FBgn0039354	Lgr3		CG31096	396	765	"1 LDLa, LRR[0+7+0], (7TM)"	Y	TM	Transmembrane (7 TM)	Moderate	Very low	Interactome II only	"Signal peptide prediction removes 8 aa of the first domain, and the ECD should be actually be 405 aa."	Orphan.
139	GT91441	RT11158	FnIII	nord	FBgn0050418	nord		CG30418	563	587	2 FnIII	Y	N	Secreted	Low	Very low	Interactome II only		Orphan.
159	GT91442	RT11161	FnIII	Ptp10D	FBgn0004370	Protein tyrosine phosphatase 10D		CG1817	1155	1962	"11 FnIII, (1 PTPc)"	Y	TM	Transmembrane	None	None	Interactome II only		Orphan.
175	GT91443	RT10263	FnIII	Ptp4E	FBgn0004368	Protein tyrosine phosphatase 4E		CG6899	1183	1767	"11 FnIII, (1 PTPc)"	Y	TM	Transmembrane	Very low	Very low	Interactome II only		Orphan.
134	GT91444	RT10265	LRR	rdo	FBgn0243486	reduced ocelli		CG15151	488	741	LRR[1+14+1]	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		Orphan.
200	GT91445	RT11164	FnIII	sas	FBgn0002306	stranded at second		CG2507	1588	1693	"4 VWC, 3 FnIII"	Y	TM	Transmembrane	None	None	Interactome II only		Orphan.
143	GT91446	RT10273	LRR	swi2	FBgn0034262	swi2		CG14485	432	499	"LRR[0+4+1], LRR[1+4+1]"	Y	TM	Transmembrane	High	Moderate	Interactome II only		Orphan.
186	GT91447	RT11167	LRR	Tl	FBgn0262473	Toll		CG5490	778	1097	"LRR[0+12+1], LRR[1+2+1], (1 TIR)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		"Tl binds itself (PMID: 15795223). Tl also binds spz (PMID: 12872120), and possibly other spz-like proteins. Intracellularly, it binds MyD88."
138	GT91448	RT10281	LRR	Toll-6	FBgn0036494	Toll-6		CG7250	1040	1514	"LRR[0+23+1], LRR[1+3+0], (1 TIR)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
178	GT91449	RT10285	LRR	Tollo	FBgn0029114	Tollo		CG6890	997	1346	"LRR[0+21+1], LRR[1+5+0], (1 TIR)"	Y	TM	Transmembrane	Very low	Very low	Interactome II only		"Orphan. As a Toll-like receptor, it likely binds spz or spz-like proteins."
164	GT91450	RT10495	FnIII	tor	FBgn0003733	torso		CG1389	378	923	"1 FnIII, (1 TyrKc)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		"Torso binds Trk (PMID: 11290307) and Ptth (PMID: 19965758), although the evidence appears to be only genetic."
145	GT91451	RT11170	LRR	trn	FBgn0010452	tartan		CG11280	414	737	LRR[1+12+1]	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
152	GT91452	RT10075	LRR	wdp	FBgn0034718	windpipe		CG3413	429	677	LRR[1+2+1]	Y	TM	Transmembrane	Moderate	Very low	Interactome II only		Orphan.
199	GT91453	RT10079	FnIII	Wsck	FBgn0046685	Wsck		CG31127	370	791	"1 WSC, 1 FnIII, (1 TyrKc)"	Y	TM	Transmembrane	High	High	Interactome II only		Orphan.
163	GT91454	RT10069	Ig + FnIII	et	FBgn0031055	eye transformer		CG14225	492	643	"1 Ig, 4 FnIII"	Y	TM	Transmembrane	Moderate	Moderate	Interactome II only		"Et binds dome (PMID: 20689801, 20624926) and hop (PMID: 20624926)."
147	GT91455	RT10064	Ig	Sema-2b	FBgn0026363	Sema-2b		CG33960	712	785	"1 Sema, 1 PSI, 1 Ig"	Y	N	Secreted	Moderate	Weak	Interactome II only		Sema-2b binds Plexin B (PMID: 16672342).
-	-	not cloned	Ig	CG42596	FBgn0260995			CG42596	282	245	2 Ig	Y	TM	Transmembrane			-		Orphan. Only recently annotated Dpr-like gene. Not cloned due to recent discovery.
Slit fragments later included																			
204	-	-	LRR	sli	FBgn0264089	slit	sliN-PC	CG43758	1099	1504	"LRR[1+6+1], LRR[1+5+1], LRR[1+4+1], LRR[1+4+1], 5 EGF"	Y	N	Secreted	Moderate	Moderate	-	N-terminal fragment of Sli-PC.	"N-terminal fragment of Sli binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
205	-	-	LRR	sli	FBgn0264089	slit	sliN-PG	CG43758	923	1328	"LRR[1+6+1], LRR[1+6+1], LRR[1+4+1], 5 EGF"	Y	N	Secreted	Low	Low	-	N-terminal fragment of Sli-PG.	"N-terminal fragment of Sli binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
206	-	-	LRR	sli	FBgn0264089	slit	sliN-PA	CG43758	1075	1480	"LRR[1+5+1], LRR[1+5+1], LRR[1+4+1], LRR[1+4+1], 5 EGF"	Y	N	Secreted	Moderate	Moderate	-	N-terminal fragment of Sli-PA.	"N-terminal fragment of Sli binds Robo, Lea and Robo3 (PMID: 10102268, 10102267). Sli also binds itself (PMID: 15496984, 19498462)."
207	-	-	LRR	sli	FBgn0264089	slit	sliC	CG43758	369	1504	"1 EGF, 1 LamG, 1 EGF, 1 CTCK"	Y	N	Secreted	Moderate	Moderate	-	C-terminal fragment of Sli (all variants).	Orphan.
$Control proteins included			Ig	Syg-1	C. elegans	Synaptogenesis-1			533	727	5 Ig	Y	Y	Transmembrane	High	High	Interactome I and II		Syg-1 binds Syg-2 (PMID: 15035988).
$in the Extracellular Interactome			Ig+FnIII	Syg-2	C. elegans	Synaptogenesis-2			1011	1217	"9 Ig, 1 FnIII"	Y	Y	Transmembrane	Very low	Very low	Interactome I and II		Syg-2 binds Syg-1 (PMID: 15035988).
$"Table S1. Related to Figure 1. The list of proteins studied in this work. Clone names (column C) can be used to find cDNA sequences at FlyBase (http://flybase.org). All commonly used annotation (columns E, F, G, I) was added from FlyBase (http://flybase.org), and extracellular domain size and domain predictions (columns J-O) were made as explained in the main-text and extended Experimental Procedures. In column M, ÒYÓ indicates the presence of a signal peptide, and SA indicates a possible signal anchor, although such an assignment cannot always be made with confidence. In column N, ÒTMÓ and ÒGPIÓ indicate the presence of transmembrane helices and GPI linkages respectively. Domain definitions of LRR domains are further specified as ÒLRR[N-terminal cap,LRR repeats,C-terminal cap]Ó, and are communicated to us by Kevin J. Mitchell and Karsten Hokamp, based on Dolan et al, 2007. LRR domains may have undetected cap domains or LRR repeats. Relative expression levels of all cloned proteins in bait and prey forms are reported in columns P-Q. All differences between sequences of our constructs and the Drosophila genomic sequences are remarked (column S), and known extracellular interactions from literature are noted (column T)."																			
